Episódio,Recompensa Total,Passos,Timesteps Globais
1106,-925.9,126,95056
1107,-460.53,50,95106
1108,-987.93,12,95118
1109,-976.18,37,95155
1110,-980.56,31,95186
1111,-986.64,24,95210
1112,-922.35,115,95325
1113,-980.0,23,95348
1114,-992.42,12,95360
1115,-972.79,46,95406
1116,-476.88,38,95444
1117,-991.18,12,95456
1118,-986.71,19,95475
1119,-989.81,12,95487
1120,-986.2,18,95505
1121,-989.1,19,95524
1122,-982.43,30,95554
1123,-990.9,16,95570
1124,-971.29,45,95615
1125,-989.17,16,95631
1126,-985.93,22,95653
1127,-992.43,13,95666
1128,-988.81,18,95684
1129,-990.15,16,95700
1130,-986.4,19,95719
1131,-461.85,60,95779
1132,-989.75,19,95798
1133,-974.93,43,95841
1134,-990.15,12,95853
1135,-981.6,33,95886
1136,-992.25,12,95898
1137,632.4,1001,96899
1138,-449.24,71,96970
1139,-981.91,24,96994
1140,-987.96,15,97009
1141,-979.25,30,97039
1142,-916.23,106,97145
1143,-977.54,37,97182
1144,-976.6,32,97214
1145,-921.15,111,97325
1146,-985.96,20,97345
1147,-988.86,22,97367
1148,-449.99,78,97445
1149,-985.08,17,97462
1150,-987.26,16,97478
1151,-991.35,15,97493
1152,-994.53,13,97506
1153,-986.19,17,97523
1154,-988.27,23,97546
1155,-983.69,23,97569
1156,-955.44,72,97641
1157,-924.46,114,97755
1158,-986.03,22,97777
1159,-458.38,50,97827
1160,-979.63,31,97858
1161,-989.57,13,97871
1162,-442.58,82,97953
1163,-978.75,26,97979
1164,-981.44,29,98008
1165,-951.26,73,98081
1166,-991.41,14,98095
1167,-921.86,111,98206
1168,-987.19,21,98227
1169,-437.65,97,98324
1170,-449.99,69,98393
1171,-433.15,92,98485
1172,-910.85,132,98617
1173,-457.75,50,98667
1174,-975.57,33,98700
1175,-436.06,93,98793
1176,-978.79,35,98828
1177,-913.77,108,98936
1178,-979.75,29,98965
1179,-456.88,67,99032
1180,-972.29,28,99060
1181,-990.02,12,99072
1182,-438.21,77,99149
1183,-435.29,78,99227
1184,-471.91,44,99271
1185,-989.33,16,99287
1186,-429.03,89,99376
1187,-985.75,15,99391
1188,-986.95,13,99404
1189,-471.91,43,99447
1190,-986.41,20,99467
1191,-991.08,16,99483
1192,-992.76,13,99496
1193,-986.45,23,99519
1194,-946.11,72,99591
1195,-991.42,12,99603
1196,-987.67,21,99624
1197,-430.61,91,99715
1198,-921.57,110,99825
1199,-980.53,29,99854
1200,-989.69,15,99869
1201,-982.92,25,99894
1202,-984.86,18,99912
1203,-439.07,81,99993
1204,-967.27,43,100036
1205,-990.36,12,100048
1206,-980.73,35,100083
1207,-986.98,19,100102
1208,-985.52,18,100120
1209,-991.15,20,100140
1210,-977.12,33,100173
1211,-915.59,108,100281
1212,-438.89,74,100355
1213,-978.06,29,100384
1214,-992.09,12,100396
1215,-433.28,93,100489
1216,-919.48,110,100599
1217,-919.8,112,100711
1218,-919.03,127,100838
1219,-986.25,18,100856
