Episódio,Recompensa Total,Passos,Timesteps Globais
246,-1019.6,26,46162
247,-1018.6,27,46189
248,-1017.53,23,46212
249,-1160.96,208,46420
250,-1017.0,25,46445
251,-1020.55,28,46473
252,-1145.27,189,46662
253,-1021.16,28,46690
254,-1009.37,18,46708
255,-1016.11,26,46734
256,-1013.32,20,46754
257,-1014.02,26,46780
258,-1012.37,23,46803
259,-1151.26,216,47019
260,-554.99,73,47092
261,-1014.26,24,47116
262,-1016.53,24,47140
263,-1015.31,24,47164
264,-600.97,139,47303
265,-1011.09,20,47323
266,-1027.33,41,47364
267,-578.14,131,47495
268,-1014.56,26,47521
269,-1008.95,18,47539
270,-1013.32,23,47562
271,-559.5,93,47655
272,-1026.24,40,47695
273,-1029.63,44,47739
274,-1010.48,19,47758
275,-1058.74,93,47851
276,-1014.13,24,47875
277,-1045.33,58,47933
278,-577.52,114,48047
279,-1017.19,29,48076
280,-1036.22,55,48131
281,-1018.92,24,48155
282,-576.31,115,48270
283,-1127.3,185,48455
284,-1017.2,25,48480
285,-1128.6,190,48670
286,-1012.79,26,48696
287,-1009.86,18,48714
288,-1013.14,23,48737
289,-1050.63,93,48830
290,-1026.93,38,48868
291,-1099.11,170,49038
292,-1009.16,18,49056
293,-1007.91,18,49074
294,-1014.24,29,49103
295,-540.76,67,49170
296,-1023.05,45,49215
297,-1020.75,34,49249
298,-1015.19,21,49270
299,-1011.75,23,49293
300,-1025.07,39,49332
301,-1012.02,23,49355
302,-1019.01,35,49390
303,-1010.79,19,49409
304,-1038.95,54,49463
305,-1022.73,36,49499
306,-1018.09,30,49529
307,-1005.9,17,49546
308,-1021.65,35,49581
309,-1011.35,23,49604
310,-535.97,62,49666
311,-1031.56,53,49719
312,-1010.11,19,49738
313,-1014.02,20,49758
314,-1121.19,182,49940
315,-1011.91,23,49963
316,-1044.71,72,50035
317,-1010.95,22,50057
318,-1012.21,23,50080
319,-536.97,84,50164
320,-553.56,104,50268
321,-1018.05,30,50298
322,-1131.02,199,50497
323,-1019.29,25,50522
324,-1050.15,93,50615
325,-1014.71,25,50640
326,-1010.55,23,50663
327,-1016.76,26,50689
328,-1009.94,18,50707
329,-1011.48,20,50727
330,-1015.33,26,50753
331,-1010.48,18,50771
332,-1021.39,33,50804
333,-1014.79,24,50828
334,-1010.54,22,50850
335,-1012.97,24,50874
336,-1018.06,26,50900
337,-1090.46,168,51068
338,-552.33,94,51162
339,-1008.68,19,51181
340,-1090.86,173,51354
341,-1098.44,171,51525
342,-1016.56,25,51550
343,-1013.37,25,51575
344,-1015.35,33,51608
345,-1085.29,167,51775
346,-1051.86,93,51868
347,-1010.72,19,51887
348,-1017.38,28,51915
349,-1020.77,39,51954
350,-1013.75,21,51975
351,-1010.37,22,51997
352,-1013.34,31,52028
353,-1013.92,30,52058
354,-1008.89,18,52076
355,-1011.37,23,52099
356,-1018.58,39,52138
357,-1014.02,31,52169
358,-1093.88,177,52346
359,-1020.58,37,52383
360,-1014.75,26,52409
361,-1104.79,195,52604
362,-1013.38,30,52634
363,-1016.98,40,52674
364,-525.94,50,52724
365,-533.48,75,52799
366,-1018.52,38,52837
367,-1013.19,21,52858
368,-1030.88,48,52906
369,-1040.12,72,52978
370,-1043.98,93,53071
371,-1007.4,18,53089
372,-1010.31,19,53108
373,-530.61,65,53173
374,-1013.86,28,53201
375,-1073.99,164,53365
376,-1011.8,23,53388
377,-1021.44,36,53424
378,-1082.61,164,53588
379,-1013.69,30,53618
380,-537.03,87,53705
381,-1008.45,20,53725
382,-1011.33,26,53751
383,-1008.23,21,53772
384,-1005.07,17,53789
385,-1084.78,161,53950
386,-1015.66,47,53997
387,-1011.2,21,54018
388,-1087.64,170,54188
389,-1012.51,20,54208
390,-543.64,107,54315
391,-1013.38,24,54339
392,-1005.69,17,54356
393,-1006.55,18,54374
394,-1014.56,34,54408
395,-535.2,63,54471
396,-1019.66,40,54511
397,-541.88,91,54602
398,-1015.16,40,54642
399,-1006.54,18,54660
400,-1008.35,24,54684
401,-529.63,57,54741
402,-1007.17,22,54763
403,-551.57,98,54861
404,-1014.88,31,54892
405,-1023.93,49,54941
406,-1019.61,40,54981
407,-1019.78,37,55018
408,-535.09,60,55078
409,-1022.37,51,55129
410,-1008.48,25,55154
411,-1009.57,22,55176
412,-1020.65,32,55208
413,-1013.07,26,55234
414,-1021.37,41,55275
415,-1008.58,21,55296
416,-1009.14,19,55315
417,-1021.97,44,55359
418,-1016.11,26,55385
419,-1010.86,23,55408
420,-1110.79,175,55583
421,-1046.84,93,55676
422,-1016.48,27,55703
423,-1108.39,201,55904
424,-1094.61,172,56076
425,-1086.89,168,56244
426,-1103.85,196,56440
427,-1012.1,23,56463
428,-1006.24,17,56480
429,-1010.82,23,56503
430,-1012.13,24,56527
431,-1026.49,48,56575
432,-1026.57,49,56624
433,-518.75,40,56664
434,-1008.84,23,56687
435,-1009.32,22,56709
436,-1030.32,52,56761
437,-1032.77,72,56833
438,-1010.1,23,56856
439,-1022.89,41,56897
440,-1008.53,22,56919
441,-1022.2,38,56957
442,-1009.44,22,56979
443,-1005.98,23,57002
444,-1010.7,25,57027
445,-1007.17,17,57044
446,-1011.37,23,57067
447,-534.37,81,57148
448,-1010.52,24,57172
449,-1033.04,72,57244
450,-1006.69,17,57261
451,-1007.47,18,57279
452,-533.95,77,57356
453,-1008.44,23,57379
454,-557.03,114,57493
455,-1010.8,29,57522
456,-521.38,50,57572
457,-523.03,68,57640
458,-1015.81,38,57678
459,-1008.46,20,57698
460,-1024.49,44,57742
461,-1009.24,18,57760
462,-1009.39,18,57778
463,-1008.48,25,57803
464,-1005.43,17,57820
465,-1006.39,20,57840
466,-1018.82,37,57877
467,-1010.16,20,57897
468,-1005.3,21,57918
469,-1076.41,163,58081
470,-1013.54,31,58112
471,-1014.34,26,58138
472,-1009.67,24,58162
473,-1003.92,17,58179
474,-1009.65,26,58205
475,-507.74,22,58227
476,-1004.07,21,58248
477,-538.65,72,58320
478,-1022.3,42,58362
479,-1014.81,25,58387
480,-1012.31,20,58407
481,-1011.04,24,58431
482,-1012.69,24,58455
483,-1028.39,72,58527
484,-1009.31,23,58550
485,-1092.24,199,58749
486,-1010.19,24,58773
487,-1011.01,23,58796
488,-1018.59,36,58832
489,-1012.55,34,58866
490,-1093.9,182,59048
491,-1016.02,33,59081
492,-1018.68,52,59133
493,-1006.28,17,59150
494,-1007.3,19,59169
495,-1012.14,19,59188
496,-554.03,112,59300
497,-566.9,139,59439
498,-548.78,115,59554
499,-549.24,128,59682
500,-1013.5,31,59713
501,-1011.74,28,59741
502,-1004.66,17,59758
503,-1005.46,21,59779
504,-1006.64,21,59800
505,-1011.92,30,59830
506,-1010.72,24,59854
507,-1066.2,189,60043
